Merii-san wa basutei de basu o matte imasu,Mary is waiting for a bus at the bus stop.,メアリーさんは バスていで バスを まっています,sentence,,メアリーさん|は|バスてい|で|バス|を|まって|います,Mary (polite name)|topic marker|bus stop|at (action location)|bus|object marker|waiting (te-form)|ongoing action: is …ing,まって います (matte imasu) means “is waiting.” で (de) marks where the action happens.
Norio-san wa yasete imasu ga Yasuo-san wa futotte imasu,"Norio is thin, but Yasuo is fat.",ノリオさんは やせていますが、ヤスオさんは ふとっています,sentence,,ノリオさん|は|やせて|います|が|ヤスオさん|は|ふとって|います,Norio (polite name)|topic marker|thin (te-form)|current state: is|but|Yasuo (polite name)|topic marker|heavy / fat (te-form)|current state: is,やせて います means “is thin”; ふとって います means “is heavy / fat.” These describe current states. が connects the clauses with “but.”
Yasuo-san wa se ga takakunai desu,Yasuo is not tall.,ヤスオさんは せが たかくないです,sentence,,ヤスオさん|は|せ|が|たかくない|です,Yasuo (polite name)|topic marker|height / stature|subject marker|not high / tall|polite ending,"せ が たかくない means “is not tall.” Literally, the person’s height is not high."
Kyou Norio-san wa atarashii T-shatsu o kite imasu,"Today, Norio is wearing a new T-shirt.",きょう、ノリオさんは あたらしい てぃーしゃつを きています,sentence,,きょう|ノリオさん|は|あたらしい|てぃーしゃつ|を|きて|います,Today|Norio (polite name)|topic marker|new|T-shirt|object marker|wear (te-form)|current state: is wearing,"きょう (kyou) means “today.” きて います means “is wearing,” describing the current state."
Yui-san no otousan wa ginkou de hataraite imasu,Yui's father works at a bank.,ユイさんの おとうさんは ぎんこうで はたらいています,sentence,,ユイさん|の|おとうさん|は|ぎんこう|で|はたらいて|います,Yui (polite name)|possession: ’s|father|topic marker|bank|at (action location)|work (te-form)|ongoing action / current occupation,はたらいて います (hataraite imasu) means “works / is working.” の marks possession: Yui’s father.
Yui-san no okaasan wa byouin de hataraite imasu,Yui's mother works at a hospital.,ユイさんの おかあさんは びょういんで はたらいています,sentence,,ユイさん|の|おかあさん|は|びょういん|で|はたらいて|います,Yui (polite name)|possession: ’s|mother|topic marker|hospital|at (action location)|work (te-form)|ongoing action / current occupation,はたらいて います (hataraite imasu) means “works / is working.” で marks the workplace.
Yui-san no oneesan wa kekkon shite imasu,Yui's older sister is married.,ユイさんの おねえさんは けっこんしています,sentence,,ユイさん|の|おねえさん|は|けっこん|して|います,Yui (polite name)|possession: ’s|older sister|topic marker|marriage|do (te-form)|current state,"けっこん して います (kekkon shite imasu) together means “is married,” a current state."
Yui-san no otouto wa Nagano ni sunde imasu,Yui's younger brother lives in Nagano.,ユイさんの おとうとは ながのに すんでいます,sentence,,ユイさん|の|おとうと|は|ながの|に|すんで|います,Yui (polite name)|possession: ’s|younger brother|topic marker|Nagano|in (place of residence)|live (te-form)|current state,すんで います (sunde imasu) means “lives / is living.” おとうと (otouto) means “younger brother.”
yasukute oishii,cheap and delicious,やすくて おいしい,sentence,That restaurant's food is cheap. It is delicious.,やすくて|おいしい,cheap and|delicious,"やすい (yasui, cheap) becomes やすくて (yasukute) to join it to the next adjective: “cheap and delicious.”"
chiisakute kawaii,small and cute,ちいさくて かわいい,sentence,My cat is very small. It is cute.,ちいさくて|かわいい,small and|cute,"ちいさい (chiisai, small) becomes ちいさくて (chiisakute): “small and cute.”"
shizuka de tsumaranai,quiet and boring,しずかで つまらない,sentence,My town is quiet. It is boring.,しずか|で|つまらない,quiet|and (joins a na-adjective)|boring,しずか is a na-adjective. Add で to join it to another description: “quiet and boring.”
furukute omoshiroi,old and interesting,ふるくて おもしろい,sentence,This temple is old. It is interesting.,ふるくて|おもしろい,old and|interesting,"ふるい (furui, old) becomes ふるくて (furukute): “old and interesting.”"
Oosaka ni tomodachi ni ai ni ikimasu,I go to Osaka to meet a friend.,おおさかに ともだちに あいに いきます,sentence,,おおさか|に|ともだち|に|あい|に|いきます,Osaka|to (destination)|friend|person to meet|meet (verb stem)|in order to (purpose)|go (polite),あい に いきます (ai ni ikimasu) means “go to meet.” ともだち に marks whom you meet; おおさか に marks the destination.
Kinou Nihonmachi ni hon o kai ni ikimashita,"Yesterday, I went to Japantown to buy a book.",きのう、にほんまちに ほんを かいに いきました,sentence,,きのう|にほんまち|に|ほん|を|かい|に|いきました,Yesterday|Japantown|to (destination)|book|object marker|buy (verb stem)|in order to (purpose)|went (polite past),"かい に (kai ni) means “in order to buy.” かい is the stem of かう (kau, buy). ほん を かい に いきました means “went to buy a book.”"
