shinsetsuna,kind,しんせつ（な）
benrina,convenient,べんり（な）
utau,to sing,うたう
kaburu,to put on a hat,かぶる
haku,to put on items below the waist,はく
shiru,to get to know,しる
shitsuteimasu,I know,しっています
shirimasen,I do not know,しりません
sumu,to live,すむ
hataruku,to work,はたらく
futoru,to gain weight,ふとる
futotsuteimasu,to be on the heavy side,ふとっています
kakeru,to put on glasses,かける
kiru,to put on clothes above the waist,きる
yaseru,to lose weight,やせる
yaseteimasu,to be thin,やせています
kekkonsuru,to get married,けっこんする
~ga,...but,～が
nanimo,not anything,なにも
~nin,counter for people,～にん
hitori,one person,ひとり
futari,two people,ふたり
betsuni,nothing in particular,べつに
mochiron,of course,もちろん
yokattara,if you like,よかったら
