hare,sunny weather,はれ
ame,rain,あめ
kumori,cloudy weather,くもり
yuki,snow,ゆき
tenkiyohou,weather forecast,てんきよほう
kion,air temperature,きおん
natsu,summer,なつ
fuyu,winter,ふゆ
kesa,this morning,けさ
asatte,the day after tomorrow,あさって
maishuu,every week,まいしゅう
kongetsu,this month,こんげつ
raigetsu,next month,らいげつ
kaishain,office worker,かいしゃいん
shigoto,work,しごと
kamera,camera,カメラ,katakana
karaoke,karaoke,カラオケ,katakana
tokoro,place,ところ
tomato,tomato,トマト,katakana
hashi,chopsticks,はし
paatii,party,パーティー,katakana
baabekyuu,barbecue,バーベキュー,katakana
hoomusutei,homestay,ホームステイ,katakana
ofuro,bath,おふろ
supein,Spain,スペイン,katakana
nanika,something,なにか
jouzu,skillful,じょうず
heta,clumsy,へた
yuumei,famous,ゆうめい
